Title,Author,Average Rating,Rating,Year Published,Edition
Python for Data Analysis,Wes McKinney,4.16,"2,178",2011,38
Bayesian Data Analysis,Andrew Gelman,4.22,522,1995,18
Data Analysis with Open Source Tools: A Hands-On Guide for Programmers and Data Scientists,Philipp K. Janert,4.08,313,2010,10
"R Cookbook: Proven Recipes for Data Analysis, Statistics, and Graphics (O'reilly Cookbooks)",Paul Teetor,4.05,439,2011,7
Data Analysis Using Regression and Multilevel/Hierarchical Models,Andrew Gelman,4.35,274,2006,12
Doing Bayesian Data Analysis: A Tutorial Introduction with R and BUGS,John K. Kruschke,4.37,360,0,8
Learning Spark: Lightning-Fast Big Data Analysis,Holden Karau,3.90,559,2013,16
"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions",Michael G. Milton,3.69,271,2009,25
ggplot2: Elegant Graphics for Data Analysis,Hadley Wickham,4.35,348,2009,15
Exploratory Data Analysis,John W. Tukey,4.19,63,1977,3
"Qualitative Data Analysis: An Expanded Sourcebook, 2nd Edition",Matthew B. Miles,3.98,162,1994,5
Multivariate Data Analysis,Joseph F. Hair Jr.,4.09,175,1979,40
Mathematical Statistics and Data Analysis,John A. Rice,3.84,166,1988,21
"Statistics 101: From Data Analysis and Predictive Modeling to Measuring Distribution and Determining Probability, Your Essential Guide to Statistics (Adams 101 Series)",David Borman,2.75,97,2018,6
Data Analysis: A Bayesian Tutorial,Devinderjit Singh Sivia,4.13,92,1996,10
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Books in 1",TechExp Academy,3.39,18,0,1
Avoiding Data Pitfalls: How to Steer Clear of Common Blunders When Working with Data and Presenting Analysis and Visualizations,Ben   Jones,4.17,63,2019,4
"SPSS Survival Manual: A Step by Step Guide to Data Analysis Using SPSS for Windows (Version 15), 3rd Edition",Julie Pallant,4.11,364,2001,35
Qualitative Data Analysis: A Methods Sourcebook,Matthew B. Miles,4.23,154,2013,9
"Analytics: Data Science, Data Analysis and Predictive Analytics for Business",Daniel Covington,3.22,63,0,5
The Kaggle Book: Data analysis and machine learning for competitive data science,Konrad Banachewicz,4.37,49,0,1
